year,industry,ksic_section,item,value
2011,전체,전체,활동,5344863.0
2011,전체,전체,신생,812455.0
2011,전체,전체,소멸,689550.0
2011,전체,전체,신생률,15.2
2011,전체,전체,소멸률,12.9
2012,전체,전체,활동,5418402.0
2012,전체,전체,신생,775450.0
2012,전체,전체,소멸,746352.0
2012,전체,전체,신생률,14.3
2012,전체,전체,소멸률,13.8
2013,전체,전체,활동,5419315.0
2013,전체,전체,신생,755944.0
2013,전체,전체,소멸,670717.0
2013,전체,전체,신생률,13.9
2013,전체,전체,소멸률,12.4
2014,전체,전체,활동,5600663.0
2014,전체,전체,신생,849468.0
2014,전체,전체,소멸,782039.0
2014,전체,전체,신생률,15.2
2014,전체,전체,소멸률,14.0
2015,전체,전체,활동,5597935.0
2015,전체,전체,신생,821077.0
2015,전체,전체,소멸,647304.0
2015,전체,전체,신생률,14.7
2015,전체,전체,소멸률,11.6
2016,전체,전체,활동,5821078.0
2016,전체,전체,신생,884344.0
2016,전체,전체,소멸,632011.0
2016,전체,전체,신생률,15.2
2016,전체,전체,소멸률,10.9
2017,전체,전체,활동,6098631.0
2017,전체,전체,신생,921836.0
2017,전체,전체,소멸,705069.0
2017,전체,전체,신생률,15.1
2017,전체,전체,소멸률,11.6
2018,전체,전체,활동,6298581.0
2018,전체,전체,신생,927362.0
2018,전체,전체,소멸,699117.0
2018,전체,전체,신생률,14.7
2018,전체,전체,소멸률,11.1
2019,전체,전체,활동,6576661.0
2019,전체,전체,신생,1005463.0
2019,전체,전체,소멸,743882.0
2019,전체,전체,신생률,15.3
2019,전체,전체,소멸률,11.3
2020,전체,전체,활동,6873228.0
2020,전체,전체,신생,1068917.0
2020,전체,전체,소멸,768274.0
2020,전체,전체,신생률,15.6
2020,전체,전체,소멸률,11.2
2021,전체,전체,활동,7113059.0
2021,전체,전체,신생,1033758.0
2021,전체,전체,소멸,735422.0
2021,전체,전체,신생률,14.5
2021,전체,전체,소멸률,10.3
2022,전체,전체,활동,7352787.0
2022,전체,전체,신생,997471.0
2022,전체,전체,소멸,750657.0
2022,전체,전체,신생률,13.6
2022,전체,전체,소멸률,10.2
2023,전체,전체,활동,7538736.0
2023,전체,전체,신생,955941.0
2023,전체,전체,소멸,790516.0
2023,전체,전체,신생률,12.7
2023,전체,전체,소멸률,10.5
2024,전체,전체,활동,7641751.0
2024,전체,전체,신생,922413.0
2024,전체,전체,신생률,12.1
2011,"농업, 임업 및 어업",A,활동,39758.0
2011,"농업, 임업 및 어업",A,신생,3057.0
2011,"농업, 임업 및 어업",A,소멸,6507.0
2011,"농업, 임업 및 어업",A,신생률,7.7
2011,"농업, 임업 및 어업",A,소멸률,16.4
2012,"농업, 임업 및 어업",A,활동,38602.0
2012,"농업, 임업 및 어업",A,신생,5511.0
2012,"농업, 임업 및 어업",A,소멸,5247.0
2012,"농업, 임업 및 어업",A,신생률,14.3
2012,"농업, 임업 및 어업",A,소멸률,13.6
2013,"농업, 임업 및 어업",A,활동,41388.0
2013,"농업, 임업 및 어업",A,신생,7195.0
2013,"농업, 임업 및 어업",A,소멸,6453.0
2013,"농업, 임업 및 어업",A,신생률,17.4
2013,"농업, 임업 및 어업",A,소멸률,15.6
2014,"농업, 임업 및 어업",A,활동,41521.0
2014,"농업, 임업 및 어업",A,신생,6638.0
2014,"농업, 임업 및 어업",A,소멸,5524.0
2014,"농업, 임업 및 어업",A,신생률,16.0
2014,"농업, 임업 및 어업",A,소멸률,13.3
2015,"농업, 임업 및 어업",A,활동,43976.0
2015,"농업, 임업 및 어업",A,신생,7827.0
2015,"농업, 임업 및 어업",A,소멸,7184.0
2015,"농업, 임업 및 어업",A,신생률,17.8
2015,"농업, 임업 및 어업",A,소멸률,16.3
2016,"농업, 임업 및 어업",A,활동,44589.0
2016,"농업, 임업 및 어업",A,신생,7840.0
2016,"농업, 임업 및 어업",A,소멸,5762.0
2016,"농업, 임업 및 어업",A,신생률,17.6
2016,"농업, 임업 및 어업",A,소멸률,12.9
2017,"농업, 임업 및 어업",A,활동,47314.0
2017,"농업, 임업 및 어업",A,신생,8418.0
2017,"농업, 임업 및 어업",A,소멸,6772.0
2017,"농업, 임업 및 어업",A,신생률,17.8
2017,"농업, 임업 및 어업",A,소멸률,14.3
2018,"농업, 임업 및 어업",A,활동,48124.0
2018,"농업, 임업 및 어업",A,신생,7520.0
2018,"농업, 임업 및 어업",A,소멸,7033.0
2018,"농업, 임업 및 어업",A,신생률,15.6
2018,"농업, 임업 및 어업",A,소멸률,14.6
2019,"농업, 임업 및 어업",A,활동,49704.0
2019,"농업, 임업 및 어업",A,신생,8635.0
2019,"농업, 임업 및 어업",A,소멸,7491.0
2019,"농업, 임업 및 어업",A,신생률,17.4
2019,"농업, 임업 및 어업",A,소멸률,15.1
2020,"농업, 임업 및 어업",A,활동,52398.0
2020,"농업, 임업 및 어업",A,신생,10076.0
2020,"농업, 임업 및 어업",A,소멸,7053.0
2020,"농업, 임업 및 어업",A,신생률,19.2
2020,"농업, 임업 및 어업",A,소멸률,13.5
2021,"농업, 임업 및 어업",A,활동,57003.0
2021,"농업, 임업 및 어업",A,신생,11319.0
2021,"농업, 임업 및 어업",A,소멸,7247.0
2021,"농업, 임업 및 어업",A,신생률,19.9
2021,"농업, 임업 및 어업",A,소멸률,12.7
2022,"농업, 임업 및 어업",A,활동,61731.0
2022,"농업, 임업 및 어업",A,신생,11616.0
2022,"농업, 임업 및 어업",A,소멸,9852.0
2022,"농업, 임업 및 어업",A,신생률,18.8
2022,"농업, 임업 및 어업",A,소멸률,16.0
2023,"농업, 임업 및 어업",A,활동,60229.0
2023,"농업, 임업 및 어업",A,신생,8833.0
2023,"농업, 임업 및 어업",A,소멸,7814.0
2023,"농업, 임업 및 어업",A,신생률,14.7
2023,"농업, 임업 및 어업",A,소멸률,13.0
2024,"농업, 임업 및 어업",A,활동,63367.0
2024,"농업, 임업 및 어업",A,신생,10833.0
2024,"농업, 임업 및 어업",A,신생률,17.1
2011,광업,B,활동,1747.0
2011,광업,B,신생,174.0
2011,광업,B,소멸,248.0
2011,광업,B,신생률,10.0
2011,광업,B,소멸률,14.2
2012,광업,B,활동,1719.0
2012,광업,B,신생,225.0
2012,광업,B,소멸,255.0
2012,광업,B,신생률,13.1
2012,광업,B,소멸률,14.8
2013,광업,B,활동,1651.0
2013,광업,B,신생,195.0
2013,광업,B,소멸,198.0
2013,광업,B,신생률,11.8
2013,광업,B,소멸률,12.0
2014,광업,B,활동,1676.0
2014,광업,B,신생,224.0
2014,광업,B,소멸,238.0
2014,광업,B,신생률,13.4
2014,광업,B,소멸률,14.2
2015,광업,B,활동,1603.0
2015,광업,B,신생,163.0
2015,광업,B,소멸,199.0
2015,광업,B,신생률,10.2
2015,광업,B,소멸률,12.4
2016,광업,B,활동,1625.0
2016,광업,B,신생,224.0
2016,광업,B,소멸,219.0
2016,광업,B,신생률,13.8
2016,광업,B,소멸률,13.5
2017,광업,B,활동,1571.0
2017,광업,B,신생,169.0
2017,광업,B,소멸,214.0
2017,광업,B,신생률,10.8
2017,광업,B,소멸률,13.6
2018,광업,B,활동,1532.0
2018,광업,B,신생,181.0
2018,광업,B,소멸,257.0
2018,광업,B,신생률,11.8
2018,광업,B,소멸률,16.8
2019,광업,B,활동,1481.0
2019,광업,B,신생,199.0
2019,광업,B,소멸,216.0
2019,광업,B,신생률,13.4
2019,광업,B,소멸률,14.6
2020,광업,B,활동,1463.0
2020,광업,B,신생,211.0
2020,광업,B,소멸,218.0
2020,광업,B,신생률,14.4
2020,광업,B,소멸률,14.9
2021,광업,B,활동,1430.0
2021,광업,B,신생,194.0
2021,광업,B,소멸,181.0
2021,광업,B,신생률,13.6
2021,광업,B,소멸률,12.7
2022,광업,B,활동,1430.0
2022,광업,B,신생,193.0
2022,광업,B,소멸,201.0
2022,광업,B,신생률,13.5
2022,광업,B,소멸률,14.1
2023,광업,B,활동,1366.0
2023,광업,B,신생,131.0
2023,광업,B,소멸,161.0
2023,광업,B,신생률,9.6
2023,광업,B,소멸률,11.8
2024,광업,B,활동,1359.0
2024,광업,B,신생,165.0
2024,광업,B,신생률,12.1
2011,제조업,C,활동,468014.0
2011,제조업,C,신생,52351.0
2011,제조업,C,소멸,40793.0
2011,제조업,C,신생률,11.2
2011,제조업,C,소멸률,8.7
2012,제조업,C,활동,481057.0
2012,제조업,C,신생,53203.0
2012,제조업,C,소멸,44787.0
2012,제조업,C,신생률,11.1
2012,제조업,C,소멸률,9.3
2013,제조업,C,활동,488507.0
2013,제조업,C,신생,52366.0
2013,제조업,C,소멸,41939.0
2013,제조업,C,신생률,10.7
2013,제조업,C,소멸률,8.6
2014,제조업,C,활동,501596.0
2014,제조업,C,신생,55077.0
2014,제조업,C,소멸,42232.0
2014,제조업,C,신생률,11.0
2014,제조업,C,소멸률,8.4
2015,제조업,C,활동,509598.0
2015,제조업,C,신생,51295.0
2015,제조업,C,소멸,41553.0
2015,제조업,C,신생률,10.1
2015,제조업,C,소멸률,8.2
2016,제조업,C,활동,516955.0
2016,제조업,C,신생,50167.0
2016,제조업,C,소멸,38656.0
2016,제조업,C,신생률,9.7
2016,제조업,C,소멸률,7.5
2017,제조업,C,활동,525844.0
2017,제조업,C,신생,47598.0
2017,제조업,C,소멸,38891.0
2017,제조업,C,신생률,9.1
2017,제조업,C,소멸률,7.4
2018,제조업,C,활동,534087.0
2018,제조업,C,신생,47407.0
2018,제조업,C,소멸,39353.0
2018,제조업,C,신생률,8.9
2018,제조업,C,소멸률,7.4
2019,제조업,C,활동,542524.0
2019,제조업,C,신생,48313.0
2019,제조업,C,소멸,39537.0
2019,제조업,C,신생률,8.9
2019,제조업,C,소멸률,7.3
2020,제조업,C,활동,550332.0
2020,제조업,C,신생,47853.0
2020,제조업,C,소멸,36861.0
2020,제조업,C,신생률,8.7
2020,제조업,C,소멸률,6.7
2021,제조업,C,활동,562351.0
2021,제조업,C,신생,48944.0
2021,제조업,C,소멸,35680.0
2021,제조업,C,신생률,8.7
2021,제조업,C,소멸률,6.3
2022,제조업,C,활동,566952.0
2022,제조업,C,신생,40688.0
2022,제조업,C,소멸,37387.0
2022,제조업,C,신생률,7.2
2022,제조업,C,소멸률,6.6
2023,제조업,C,활동,565945.0
2023,제조업,C,신생,37124.0
2023,제조업,C,소멸,38745.0
2023,제조업,C,신생률,6.6
2023,제조업,C,소멸률,6.8
2024,제조업,C,활동,560551.0
2024,제조업,C,신생,34362.0
2024,제조업,C,신생률,6.1
2011,"전기, 가스, 증기 및 공기조절 공급업",D,활동,2192.0
2011,"전기, 가스, 증기 및 공기조절 공급업",D,신생,316.0
2011,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,99.0
2011,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,14.4
2011,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,4.5
2012,"전기, 가스, 증기 및 공기조절 공급업",D,활동,3006.0
2012,"전기, 가스, 증기 및 공기조절 공급업",D,신생,855.0
2012,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,92.0
2012,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,28.4
2012,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,3.1
2013,"전기, 가스, 증기 및 공기조절 공급업",D,활동,4495.0
2013,"전기, 가스, 증기 및 공기조절 공급업",D,신생,1449.0
2013,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,159.0
2013,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,32.2
2013,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,3.5
2014,"전기, 가스, 증기 및 공기조절 공급업",D,활동,8942.0
2014,"전기, 가스, 증기 및 공기조절 공급업",D,신생,4368.0
2014,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,246.0
2014,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,48.8
2014,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.8
2015,"전기, 가스, 증기 및 공기조절 공급업",D,활동,14961.0
2015,"전기, 가스, 증기 및 공기조절 공급업",D,신생,5968.0
2015,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,420.0
2015,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,39.9
2015,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.8
2016,"전기, 가스, 증기 및 공기조절 공급업",D,활동,18333.0
2016,"전기, 가스, 증기 및 공기조절 공급업",D,신생,3755.0
2016,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,492.0
2016,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,20.5
2016,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.7
2017,"전기, 가스, 증기 및 공기조절 공급업",D,활동,22941.0
2017,"전기, 가스, 증기 및 공기조절 공급업",D,신생,4956.0
2017,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,603.0
2017,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,21.6
2017,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.6
2018,"전기, 가스, 증기 및 공기조절 공급업",D,활동,31542.0
2018,"전기, 가스, 증기 및 공기조절 공급업",D,신생,8821.0
2018,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,872.0
2018,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,28.0
2018,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.8
2019,"전기, 가스, 증기 및 공기조절 공급업",D,활동,48663.0
2019,"전기, 가스, 증기 및 공기조절 공급업",D,신생,17314.0
2019,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,1414.0
2019,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,35.6
2019,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.9
2020,"전기, 가스, 증기 및 공기조절 공급업",D,활동,69769.0
2020,"전기, 가스, 증기 및 공기조절 공급업",D,신생,21883.0
2020,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,2321.0
2020,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,31.4
2020,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,3.3
2021,"전기, 가스, 증기 및 공기조절 공급업",D,활동,89744.0
2021,"전기, 가스, 증기 및 공기조절 공급업",D,신생,21748.0
2021,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,2621.0
2021,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,24.2
2021,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.9
2022,"전기, 가스, 증기 및 공기조절 공급업",D,활동,108002.0
2022,"전기, 가스, 증기 및 공기조절 공급업",D,신생,20098.0
2022,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,2933.0
2022,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,18.6
2022,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.7
2023,"전기, 가스, 증기 및 공기조절 공급업",D,활동,124463.0
2023,"전기, 가스, 증기 및 공기조절 공급업",D,신생,18716.0
2023,"전기, 가스, 증기 및 공기조절 공급업",D,소멸,3472.0
2023,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,15.0
2023,"전기, 가스, 증기 및 공기조절 공급업",D,소멸률,2.8
2024,"전기, 가스, 증기 및 공기조절 공급업",D,활동,141215.0
2024,"전기, 가스, 증기 및 공기조절 공급업",D,신생,19155.0
2024,"전기, 가스, 증기 및 공기조절 공급업",D,신생률,13.6
2011,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8287.0
2011,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,1306.0
2011,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,635.0
2011,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,15.8
2011,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,7.7
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8464.0
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,774.0
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,620.0
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,9.1
2012,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,7.3
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8568.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,739.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,627.0
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.6
2013,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,7.3
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8708.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,767.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,570.0
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.8
2014,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.5
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8757.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,640.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,570.0
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.3
2015,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.5
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,8877.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,704.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,540.0
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.9
2016,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,6.1
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,9032.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,717.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,497.0
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.9
2017,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.5
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,9506.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,973.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,480.0
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,10.2
2018,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10093.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,1065.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,497.0
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,10.6
2019,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,4.9
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10575.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,928.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,528.0
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.8
2020,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,10959.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,902.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,500.0
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.2
2021,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,4.6
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11504.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,1001.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,582.0
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,8.7
2022,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.1
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11632.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,736.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸,602.0
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,6.3
2023,"수도, 하수 및 폐기물처리, 원료재생업",E,소멸률,5.2
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,활동,11901.0
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,신생,862.0
2024,"수도, 하수 및 폐기물처리, 원료재생업",E,신생률,7.2
2011,건설업,F,활동,333819.0
2011,건설업,F,신생,34708.0
2011,건설업,F,소멸,27815.0
2011,건설업,F,신생률,10.4
2011,건설업,F,소멸률,8.3
2012,건설업,F,활동,339365.0
2012,건설업,F,신생,34256.0
2012,건설업,F,소멸,29822.0
2012,건설업,F,신생률,10.1
2012,건설업,F,소멸률,8.8
2013,건설업,F,활동,343556.0
2013,건설업,F,신생,32847.0
2013,건설업,F,소멸,27058.0
2013,건설업,F,신생률,9.6
2013,건설업,F,소멸률,7.9
2014,건설업,F,활동,353233.0
2014,건설업,F,신생,36493.0
2014,건설업,F,소멸,26655.0
2014,건설업,F,신생률,10.3
2014,건설업,F,소멸률,7.5
2015,건설업,F,활동,366159.0
2015,건설업,F,신생,39686.0
2015,건설업,F,소멸,26698.0
2015,건설업,F,신생률,10.8
2015,건설업,F,소멸률,7.3
2016,건설업,F,활동,384855.0
2016,건설업,F,신생,43345.0
2016,건설업,F,소멸,26387.0
2016,건설업,F,신생률,11.3
2016,건설업,F,소멸률,6.9
2017,건설업,F,활동,407286.0
2017,건설업,F,신생,46079.0
2017,건설업,F,소멸,28878.0
2017,건설업,F,신생률,11.3
2017,건설업,F,소멸률,7.1
2018,건설업,F,활동,425963.0
2018,건설업,F,신생,47679.0
2018,건설업,F,소멸,31145.0
